FishTaxa	Latitude83	Longitude83	SITEYR
EASTERN MUDMINNOW	39.011667	-76.7375	AA-N-167-031-95
CREEK CHUBSUCKER	39.011667	-76.7375	AA-N-167-031-95
CHANNEL CATFISH	39.011667	-76.7375	AA-N-167-031-95
FALLFISH	39.011667	-76.7375	AA-N-167-031-95
GLASSY DARTER	39.011667	-76.7375	AA-N-167-031-95
GREEN SUNFISH	39.011667	-76.7375	AA-N-167-031-95
REDBREAST SUNFISH	39.011667	-76.7375	AA-N-167-031-95
PUMPKINSEED	39.011667	-76.7375	AA-N-167-031-95
LARGEMOUTH BASS	39.011667	-76.7375	AA-N-167-031-95
REDFIN PICKEREL	39.011667	-76.7375	AA-N-167-031-95
SEA LAMPREY	39.011667	-76.7375	AA-N-167-031-95
SWALLOWTAIL SHINER	39.011667	-76.7375	AA-N-167-031-95
SMALLMOUTH BASS	39.011667	-76.7375	AA-N-167-031-95
SPOTTAIL SHINER	39.011667	-76.7375	AA-N-167-031-95
YELLOW PERCH	39.011667	-76.7375	AA-N-167-031-95
WARMOUTH	39.011667	-76.7375	AA-N-167-031-95
SATINFIN SHINER	39.011667	-76.7375	AA-N-167-031-95
WHITE SUCKER	39.011667	-76.7375	AA-N-167-031-95
YELLOW BULLHEAD	39.011667	-76.7375	AA-N-167-031-95
TESSELLATED DARTER	39.011667	-76.7375	AA-N-167-031-95
ROSYSIDE DACE	39.011667	-76.7375	AA-N-167-031-95
AMERICAN EEL	39.011667	-76.7375	AA-N-167-031-95
AMERICAN BROOK LAMPREY	39.011667	-76.7375	AA-N-167-031-95
BLACK CRAPPIE	39.011667	-76.7375	AA-N-167-031-95
BLUEGILL	39.011667	-76.7375	AA-N-167-031-95
BLACKNOSE DACE	39.011667	-76.7375	AA-N-167-031-95
CREEK CHUBSUCKER	39.15865708	-76.64958567	AA-N-172-209-95
EASTERN MUDMINNOW	39.15865708	-76.64958567	AA-N-172-209-95
REDFIN PICKEREL	39.15865708	-76.64958567	AA-N-172-209-95
LEAST BROOK LAMPREY	39.15865708	-76.64958567	AA-N-172-209-95
TESSELLATED DARTER	39.15865708	-76.64958567	AA-N-172-209-95
WHITE SUCKER	39.15865708	-76.64958567	AA-N-172-209-95
AMERICAN EEL	39.15865708	-76.64958567	AA-N-172-209-95
EASTERN MUDMINNOW	39.1408888	-76.70842602	AA-N-180-130-95
PUMPKINSEED	39.1408888	-76.70842602	AA-N-180-130-95
REDFIN PICKEREL	39.1408888	-76.70842602	AA-N-180-130-95
LARGEMOUTH BASS	39.1408888	-76.70842602	AA-N-180-130-95
TESSELLATED DARTER	39.1408888	-76.70842602	AA-N-180-130-95
AMERICAN EEL	39.1408888	-76.70842602	AA-N-180-130-95
BLUEGILL	39.1408888	-76.70842602	AA-N-180-130-95
BROWN BULLHEAD	39.1408888	-76.70842602	AA-N-180-130-95
NO FISH OBSERVED	39.18191883	-76.6225185	AA-N-186-115-96
EASTERN MUDMINNOW	38.81540613	-76.69818959	AA-N-190-101-97
AMERICAN EEL	38.81540613	-76.69818959	AA-N-190-101-97
BLACKNOSE DACE	38.81540613	-76.69818959	AA-N-190-101-97
EASTERN MUDMINNOW	39.07931992	-76.6330946	AA-N-201-203-97
TESSELLATED DARTER	39.07931992	-76.6330946	AA-N-201-203-97
BLUEGILL	39.07931992	-76.6330946	AA-N-201-203-97
AMERICAN EEL	39.07931992	-76.6330946	AA-N-201-203-97
BLACKNOSE DACE	39.07931992	-76.6330946	AA-N-201-203-97
EASTERN MUDMINNOW	39.11937015	-76.5448626	AA-N-209-104-97
PUMPKINSEED	39.11937015	-76.5448626	AA-N-209-104-97
AMERICAN EEL	39.11937015	-76.5448626	AA-N-209-104-97
NO FISH OBSERVED	38.88691814	-76.5938473	AA-N-211-101-97
CHAIN PICKEREL	39.10264233	-76.68934513	AA-N-230-302-97
EASTERN MUDMINNOW	39.10264233	-76.68934513	AA-N-230-302-97
GREEN SUNFISH	39.10264233	-76.68934513	AA-N-230-302-97
GIZZARD SHAD	39.10264233	-76.68934513	AA-N-230-302-97
PUMPKINSEED	39.10264233	-76.68934513	AA-N-230-302-97
YELLOW PERCH	39.10264233	-76.68934513	AA-N-230-302-97
WHITE SUCKER	39.10264233	-76.68934513	AA-N-230-302-97
TESSELLATED DARTER	39.10264233	-76.68934513	AA-N-230-302-97
BROWN BULLHEAD	39.10264233	-76.68934513	AA-N-230-302-97
BLACKNOSE DACE	39.10264233	-76.68934513	AA-N-230-302-97
AMERICAN EEL	39.10264233	-76.68934513	AA-N-230-302-97
BLUEGILL	39.10264233	-76.68934513	AA-N-230-302-97
EASTERN MUDMINNOW	39.10666882	-76.69722538	AA-N-230-307-97
GREEN SUNFISH	39.10666882	-76.69722538	AA-N-230-307-97
CHAIN PICKEREL	39.10666882	-76.69722538	AA-N-230-307-97
PUMPKINSEED	39.10666882	-76.69722538	AA-N-230-307-97
TESSELLATED DARTER	39.10666882	-76.69722538	AA-N-230-307-97
YELLOW PERCH	39.10666882	-76.69722538	AA-N-230-307-97
WHITE SUCKER	39.10666882	-76.69722538	AA-N-230-307-97
BLACKNOSE DACE	39.10666882	-76.69722538	AA-N-230-307-97
AMERICAN EEL	39.10666882	-76.69722538	AA-N-230-307-97
CHAIN PICKEREL	39.10813641	-76.70009807	AA-N-230-313-97
GREEN SUNFISH	39.10813641	-76.70009807	AA-N-230-313-97
PUMPKINSEED	39.10813641	-76.70009807	AA-N-230-313-97
LARGEMOUTH BASS	39.10813641	-76.70009807	AA-N-230-313-97
YELLOW PERCH	39.10813641	-76.70009807	AA-N-230-313-97
WHITE SUCKER	39.10813641	-76.70009807	AA-N-230-313-97
TESSELLATED DARTER	39.10813641	-76.70009807	AA-N-230-313-97
BLUEGILL	39.10813641	-76.70009807	AA-N-230-313-97
BROWN BULLHEAD	39.10813641	-76.70009807	AA-N-230-313-97
AMERICAN EEL	39.10813641	-76.70009807	AA-N-230-313-97
BLACKNOSE DACE	39.10813641	-76.70009807	AA-N-230-313-97
GREEN SUNFISH	39.10830527	-76.70166979	AA-N-230-319-97
CHAIN PICKEREL	39.10830527	-76.70166979	AA-N-230-319-97
TESSELLATED DARTER	39.10830527	-76.70166979	AA-N-230-319-97
BLUEGILL	39.10830527	-76.70166979	AA-N-230-319-97
BROWN BULLHEAD	39.10830527	-76.70166979	AA-N-230-319-97
BLACKNOSE DACE	39.10830527	-76.70166979	AA-N-230-319-97
AMERICAN EEL	39.10830527	-76.70166979	AA-N-230-319-97
WHITE SUCKER	39.17894355	-76.62617882	AA-N-244-203-95
TESSELLATED DARTER	39.17894355	-76.62617882	AA-N-244-203-95
AMERICAN EEL	39.17894355	-76.62617882	AA-N-244-203-95
CREEK CHUB	39.071944	-76.756389	AA-N-245-026-95
EASTERN SILVERY MINNOW	39.071944	-76.756389	AA-N-245-026-95
CUTLIP MINNOW	39.071944	-76.756389	AA-N-245-026-95
FALLFISH	39.071944	-76.756389	AA-N-245-026-95
COMMON SHINER	39.071944	-76.756389	AA-N-245-026-95
GLASSY DARTER	39.071944	-76.756389	AA-N-245-026-95
CHANNEL CATFISH	39.071944	-76.756389	AA-N-245-026-95
NORTHERN HOGSUCKER	39.071944	-76.756389	AA-N-245-026-95
REDBREAST SUNFISH	39.071944	-76.756389	AA-N-245-026-95
LONGNOSE DACE	39.071944	-76.756389	AA-N-245-026-95
RIVER CHUB	39.071944	-76.756389	AA-N-245-026-95
SWALLOWTAIL SHINER	39.071944	-76.756389	AA-N-245-026-95
TESSELLATED DARTER	39.071944	-76.756389	AA-N-245-026-95
SATINFIN SHINER	39.071944	-76.756389	AA-N-245-026-95
